id,activity_day,calories,activity_hour
1503960366,4/12/2016,81,0:00:00
1503960366,4/12/2016,61,1:00:00
1503960366,4/12/2016,59,2:00:00
1503960366,4/12/2016,47,3:00:00
1503960366,4/12/2016,48,4:00:00
1503960366,4/12/2016,48,5:00:00
1503960366,4/12/2016,48,6:00:00
1503960366,4/12/2016,47,7:00:00
1503960366,4/12/2016,68,8:00:00
1503960366,4/12/2016,141,9:00:00
1503960366,4/12/2016,99,10:00:00
1503960366,4/12/2016,76,11:00:00
1503960366,4/12/2016,73,12:00:00
1503960366,4/12/2016,66,13:00:00
1503960366,4/12/2016,110,14:00:00
1503960366,4/12/2016,151,15:00:00
1503960366,4/12/2016,76,16:00:00
1503960366,4/12/2016,83,17:00:00
1503960366,4/12/2016,124,18:00:00
1503960366,4/12/2016,104,19:00:00
1503960366,4/12/2016,132,20:00:00
1503960366,4/12/2016,100,21:00:00
1503960366,4/12/2016,65,22:00:00
1503960366,4/12/2016,81,23:00:00
1503960366,4/13/2016,69,0:00:00
1503960366,4/13/2016,48,1:00:00
1503960366,4/13/2016,47,2:00:00
1503960366,4/13/2016,53,3:00:00
1503960366,4/13/2016,47,4:00:00
1503960366,4/13/2016,47,5:00:00
1503960366,4/13/2016,48,6:00:00
1503960366,4/13/2016,59,7:00:00
1503960366,4/13/2016,69,8:00:00
1503960366,4/13/2016,136,9:00:00
1503960366,4/13/2016,77,10:00:00
1503960366,4/13/2016,84,11:00:00
1503960366,4/13/2016,82,12:00:00
1503960366,4/13/2016,72,13:00:00
1503960366,4/13/2016,128,14:00:00
1503960366,4/13/2016,79,15:00:00
1503960366,4/13/2016,71,16:00:00
1503960366,4/13/2016,87,17:00:00
1503960366,4/13/2016,118,18:00:00
1503960366,4/13/2016,73,19:00:00
1503960366,4/13/2016,47,20:00:00
1503960366,4/13/2016,48,21:00:00
1503960366,4/13/2016,74,22:00:00
1503960366,4/13/2016,135,23:00:00
1503960366,4/14/2016,56,0:00:00
1503960366,4/14/2016,54,1:00:00
1503960366,4/14/2016,47,2:00:00
1503960366,4/14/2016,47,3:00:00
1503960366,4/14/2016,47,4:00:00
1503960366,4/14/2016,47,5:00:00
1503960366,4/14/2016,47,6:00:00
1503960366,4/14/2016,47,7:00:00
1503960366,4/14/2016,47,8:00:00
1503960366,4/14/2016,93,9:00:00
1503960366,4/14/2016,109,10:00:00
1503960366,4/14/2016,64,11:00:00
1503960366,4/14/2016,85,12:00:00
1503960366,4/14/2016,137,13:00:00
1503960366,4/14/2016,113,14:00:00
1503960366,4/14/2016,66,15:00:00
1503960366,4/14/2016,88,16:00:00
1503960366,4/14/2016,61,17:00:00
1503960366,4/14/2016,72,18:00:00
1503960366,4/14/2016,55,19:00:00
1503960366,4/14/2016,91,20:00:00
1503960366,4/14/2016,174,21:00:00
1503960366,4/14/2016,79,22:00:00
1503960366,4/14/2016,50,23:00:00
1503960366,4/15/2016,60,0:00:00
1503960366,4/15/2016,58,1:00:00
1503960366,4/15/2016,59,2:00:00
1503960366,4/15/2016,47,3:00:00
1503960366,4/15/2016,47,4:00:00
1503960366,4/15/2016,49,5:00:00
1503960366,4/15/2016,47,6:00:00
1503960366,4/15/2016,49,7:00:00
1503960366,4/15/2016,54,8:00:00
1503960366,4/15/2016,50,9:00:00
1503960366,4/15/2016,63,10:00:00
1503960366,4/15/2016,84,11:00:00
1503960366,4/15/2016,74,12:00:00
1503960366,4/15/2016,67,13:00:00
1503960366,4/15/2016,47,14:00:00
1503960366,4/15/2016,47,15:00:00
1503960366,4/15/2016,47,16:00:00
1503960366,4/15/2016,140,17:00:00
1503960366,4/15/2016,87,18:00:00
1503960366,4/15/2016,97,19:00:00
1503960366,4/15/2016,64,20:00:00
